id	cluster
1227	1
1229	2
1240	3
1241	2
1243	3
1244	2
1245	1
1249	2
1251	2
1252	2
1254	2
1255	1
1259	1
1261	1
1265	2
1266	1
1267	1
1269	3
1272	1
1273	2
1274	2
1277	2
1278	2
1280	2
1282	3
1289	3
1298	1
1301	2
1303	2
1307	2
1311	3
1312	2
1314	2
1315	3
1316	1
1317	1
1318	1
1328	3
1329	3
1330	3
1331	3
1333	1
1335	1
1336	1
1339	1
1340	2
1341	1
1342	3
1349	3
1350	1
1351	1
1353	2
1355	1
1362	1
1365	2
1366	1
1367	3
1372	2
1373	2
1375	1
1379	1
1384	1
1389	2
1392	1
1394	1
1397	2
1399	3
1403	3
1404	2
1407	2
1409	1
1411	1
1417	1
1423	2
1424	2
1435	2
1436	2
1443	3
1446	1
1451	3
1455	3
1457	1
1459	1
1460	1
1466	2
1500	2
1503	2
1504	1
1512	1
1543	2
1549	1
1550	1
1551	1
1553	1
1573	3
1575	3
1576	3
1578	2
1580	1
1581	1
1586	1
1588	3
1590	2
1591	2
1593	1
1599	1
1603	2
1605	1
1611	1
1614	3
1622	1
1633	1
1636	2
1637	1
1638	1
1648	2
1649	1
1651	2
1654	2
1657	1
1660	1
1672	2
1675	2
1678	2
1682	3
1687	1
1689	2
1692	2
1706	2
1713	2
1714	2
1717	2
1720	1
1728	2
1730	1
1915	2
1919	2
1972	1
1974	3
1978	2
2014	1
2021	2
2027	1
2036	2
2055	3
2057	1
2060	3
2065	3
2068	2
2076	2
2087	2
2107	1
2112	1
2114	1
2119	1
2128	3
2132	1
2143	2
2148	3
2149	1
2150	2
2151	2
2152	1
2165	3
2166	1
2195	1
2196	1
2197	1
2201	3
2220	2
2228	1
2236	2
2242	1
2258	1
2264	2
2294	2
2295	2
2299	1
2302	1
2304	1
2310	1
2312	2
2313	3
2315	2
2321	1
2322	2
2323	1
2325	1
2326	1
2330	1
2331	3
2332	1
2333	2
2336	1
2346	1
2349	1
2353	2
2354	1
2357	1
2358	3
2360	2
2361	1
2363	3
2368	1
2370	2
2373	1
2375	1
2376	1
2379	1
2380	1
2382	2
2386	1
2388	2
2396	3
2397	2
2401	3
2403	3
2405	1
2407	1
2408	1
2413	2
2415	3
2416	1
2417	2
2418	2
2421	3
2422	2
2423	3
2428	1
2430	3
2432	2
2433	3
2435	1
2436	1
2438	3
2441	2
2444	2
2450	2
2451	3
2456	2
2457	3
2458	2
2459	2
2469	2
2475	2
2478	2
2484	1
2545	3
2566	1
2584	1
2600	1
2602	3
2606	2
2607	2
2616	1
2620	1
2623	1
2624	1
2626	3
2627	2
2631	3
2634	2
2638	2
2640	1
2644	2
2650	3
2653	3
2654	2
2666	3
2675	3
2679	1
2681	3
2682	3
2683	1
2684	2
2687	1
2689	1
2690	2
2698	3
2702	2
2707	1
2708	1
2713	3
2715	2
2716	2
2717	2
2719	2
2720	2
2723	2
2724	2
2726	2
2728	3
2729	1
2730	1
2738	2
2739	2
2742	1
2743	2
2756	1
2757	2
2760	3
2761	3
2762	2
2764	2
2767	2
2768	2
2770	2
2773	1
2776	3
2779	3
2782	2
2783	2
2785	3
2787	3
2789	3
2793	2
2794	3
2795	2
2807	3
2808	1
2809	2
2810	2
2811	2
2814	2
2815	2
2819	2
2823	2
2824	2
2825	2
2828	2
2829	1
2830	1
2832	3
2833	2
2834	1
2835	3
2836	2
2838	2
2840	2
2842	1
2843	1
2845	3
2847	3
2848	3
2849	3
2850	3
2854	1
2855	2
2858	2
2859	1
2861	1
2864	2
2869	2
2870	3
2876	3
2877	1
2881	2
2884	2
2889	3
2890	3
2891	3
2897	2
2902	2
2903	3
2904	1
2906	3
2909	2
2914	2
2920	2
